"Name","Review Content","Date","Rating","Hilton Hotel"
"Expensive but not value","The hotel is well located but the facilities provided were not to the level of the Hilton. The staff were trying to help but there are things which could not be translated into the service. The room i was allocated on the first floor smells of strong cigarette smoke even though the staff assured me that the rooms are non-smoking. Some of the amenities in the room were broken and not fixed and bedsheets/pillowcases are not changed for my stay (i stayed 4 nights).","Date of stay: February 2020This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
"Nice, clean hotel","After 2 weeks of a trip around Namibia, it was a welcome change to be in this 'corporate like' clean Hilton. Due to our diamond status, we were upgraded to a large suite room and had access to the executive lounge. Parking was convenient and cost a small amount of money.","Date of stay: August 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Long wait for checkin","the hotel has beautiful rooms, an incomparable view from the pool, and the breakfast was very good, but: when we arrived in the afternoon around 3:00, most of the rooms booked for us were not yet ready, so we could not move in. The staff at the reception seemed disinterested or overwhelmed, also the manager did not show whether he was interested in our problem. Finally, after more than three hours of waiting, we were able to move into our rooms. I have never been treated so disrespectfully in any hotel. This was not worthy of a hotel with the Hilton name.","Date of stay: September 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Very disappointed","Decent stay but be careful when paying for extras on your room. I was double charged and despite providing evidence the hotel had charged two different cards they refuse to accept the error or refund my account.Very disappointed with the lack of support from a “Hilton”","Date of stay: June 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Most grateful to Violet for going extra miles beyond her call to duty. She deserves all appreciation and encouragement","I was at Hilton Hotel for a technical meeting. Unfortunately forgot my laptop charger on return back to my duty station. I was impressed with the sense of responsibility by Ms Violet to trace the item and organize sending the items by courier. I am very Impressed with support from Violet to recover lost but found items. Thanks to the entire team that recovered this item.","Date of stay: August 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Disappointed","I thought making a booking at a known chain at the end of a tiring road trip sounded safe, but we were disappointed. The bathroom had hair in it. The staff was somewhat snotty. The ground floor cafe was poorly run. Overall it was okay, but again, we were just disappointed. We kind of needed a friendly place to stay at that point.","Date of stay: December 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Exceptional Service","Ms Links, Matilda, CK and Casiorica were shined in their professionalism and hospitality. People make the difference in a fine experience and they did just so. The pool side is nice and great for sun bathing with a nice bar to fit.I will be back!","Date of stay: October 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"The perfect getaway place.","What an amazing place for a getaway. Calm, cleanlinessis top notch, proper location with an amazing view. The place is breath taking and the rooms 🤩🤩omg, you can't get enough of it. It's definitely a place worth being. 🤩🤩🤩🤩🤩🤩","Date of stay: April 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Beautiful WDH Hilton","Beautiful hotel with spectacular view. The suite (500)  I  stayed n was very spacious and well furnished. Alta At the Reception on check in was very pleasant. Breakfast was good with lots of options. Maria at the Executive Lounge was AWESOME!!!!","Date of stay: September 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"No luxury! Just unprofessional ","Checked into the presidential suite on the 6.1.2019 at 15h10- room system not updated needs to check if room available - room keys don’t work back to the room- Internet WiFi is an issue - get to room hot as hell - no pre aircon - room inspection broken cupboard and pillow was not changed fresh - Internet WiFi issue again -complain to receptionist who gets upset as I am the rude one- no place to smoke so change to garden suite... the worst hotel and service I have received. Never will see me again!","Date of stay: January 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
"Lage perfekt","Ich bin ein Hilton-Fan, so habe ich mich auch in Windhoek in dieser Kette einquartiert. Die Hauptstadt Namibias gibt nicht so viel her und ist recht klein, doch steht das Hilton wenige Meter vom Zentrum entfernt. Die Bedienung ist nett, manchmal leider etwas überfordert. Die Zimmer sind luxuriös, mich stört nur das integrierte Badezimmer und das WC, welches lediglich durch eine Milchglasscheibe vom Zimmer getrennt ist. Das Frühstücksbuffet ist reichhaltig, besonders zu empfehlen ist das Abendbuffet um ca. 25 Dollar. Niemals zuvor habe ich bessere Austern gegessen.","Date of stay: January 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Nice upscale property in the heart of Windhoek - great skybar and pool!","It is important to note that I am ranking all the hotels we stayed at (7) based upon where these hotels are (e.g., Ranking them on Southern African standards not European or America...so a 4 star hotel in Southern Africa is not necessarily a 4 star hotel in Chicago. I did this to be fair and give my readers proper perspective)..okay on to the review....We stayed here for just one night on an 18 day trip through Southern Africa. The property is very modern and seems newer.  It is a full service hotel with a great pool and sky deck bar.  The rooms all seem updated and were quite nice.Here are the pros and cons:1.  The rooms are very nice and modern;2.  The on property restaurants were very nice and the food was good;3.  The sky deck bar and pool were outstanding;4.  Nice central location5.  Really nice staff and service.  We had a 3 am departure to catch a flight and the staff went out of their way to make sure that coffee service was set up for us at 2:45am and breakfast boxes were ready so we had the ability to eat.  This was for 13 people - I would  have given them 5 stars just for that...outstanding effort.6.  Wifi was excellent.  In Southern Africa Wifi is hit or really miss...the Hilton's wifi was a 5 star experience.Cons:1.  Only one real issue.  Their is tight security on the elevators to ALL the floors (which is great given that their is a very happening bar open to the public on the top floor), however, the staircase is unregulated.  We literally were able to walk up the staircase and access our various floors without any access control.  I think the hotel would be wise to tighten that up.2.  The room is the new ""modern open"" concept...so there is really no privacy between the room and the bath.  Some people like this and some don't.  It is fine but just want people to be aware.All in the property was one of the best we stayed at during the 18 days and I have rated as such.  I would highly recommend it.","Date of stay: July 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Some good, some bad","Stayed there for two occasions, both times for three nights. The airportpickup was fine, yet when I arrived to the hotel during the aerly hours they claimed that they had given my room away.. Since I arrived early in the morning I booked the room for the night before - it was prepaid and the reservation also had a note telling about my late arrival. Plus of course the hotel managed my pickup so they should have been well aware of my arrival time. After a serious argument they gave me the room. It was hot, really hot.. I called the reception and they sent someone from maintenance up. The guy said that AC can only be switched on for the whole floor and since it was freezing outside he would really not want to do that. Ok, I asked if he could turn it on later, he said yes but of course this was the end of the story, I checked out for a weekend in Etosha and came back two days later and again - they claimed that they do not have my reservation.. even though I had a prepaid voucher that I presented to them. This time I only got the room as I had to present at a seminar that took place in the hotel the next day.. But when I got to the room it was not cleaned. So down I went again.. This night I also got some free entertainment as there as a nightclub somewhere below my room (not sure whether it was in the hotel but the music was loud)Now it was not all negative though. Rooms are ok, bed is comfortable. Room service food was good and not expensive. Internet is decent. Breakfast was very good. The hotel has a nice rooftop bar and a small swimming pool. Conference facilites are ok.I rate this property as poor simply because there was way too much mess for my stays.","Date of stay: June 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Hilton Hotel"
"Cozy atmosphere","I spent an evening at the sky bar and restaurant, the view of the city skyline is amazing from the balcony. We had wine from the balcony and the atmosphere was friendly the waiters and waitresses were also attentive.","Date of stay: December 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Horrible Hotel","Rude staff. God trapped in elevator for 37 minutes.  Watched the staff through the door crack laugh at our entrapment.  Stairway A has wobbly steps which could cause the guest to fall.  Recommend to stay next door at the Avani.","Date of stay: September 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
"Good service and comfortable ","The facilities are good and the service is friendly. The breakfast buffet is good but quite expensive if you not eat a full meal. There is not an evident alternative in the area. The pool and fitness facilities are good. A nice relaxation.","Date of stay: March 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Ottimo hotel !","Come punto di partenza ottimo, è in pieno centro anche per delle belle passeggiate, sky bar con vista mozzafiato aspettate il tramonto colori fantastici ! Arredamento moderno camere molto belle e pulite, colazione ottima, c’è il ristorante a buffet o a la carta incuriositi abbiamo mangiato del buon sushi è venuta la cuoca per descrivere il piatto prima di essere servito molto brava! Poi un pub dove gustare degli ottimi sandwich oppure hamburger molto big ma decisamente ottimi! Servizio dell’hotel in generale ottimo molto gentili e carini! Ci torno di sicuro, solo per gustare una margarita e godermi il tramonto che è bellissimo!Bravi","Date of stay: July 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
