"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Very Disappointing stay!","negative","Mercure Hotel","November","2023","1","negative"
"Aardig start hotel goed maar niet bijzonder.","neutral","Mercure Hotel","November","2019","3","neutral"
"Eerste kennismaking","neutral","Mercure Hotel","July","2019","2","negative"
"Comodo per l'aeroporto","neutral","Mercure Hotel","August","2019","3","neutral"
"AGM 2019","neutral","Mercure Hotel","November","2019","4","positive"
"hotel di passaggio","neutral","Mercure Hotel","June","2019","4","positive"
"Less than satisfactory","positive","Mercure Hotel","July","2019","1","negative"
"Need to improve","positive","Mercure Hotel","October","2019","2","negative"
"Safari Hotel Windhoek....not bad","negative","Mercure Hotel","May","2019","3","neutral"
"Reasonable value for 3 star establishment","positive","Mercure Hotel","December","2019","3","neutral"
"Confortable et luxe","neutral","Mercure Hotel","June","2023","4","positive"
"No thanks!","positive","Mercure Hotel","August","2019","2","negative"
"Opstarts hotel","neutral","Mercure Hotel","March","2019","3","neutral"
"Never again...","neutral","Mercure Hotel","August","2019","2","negative"
"Never again","neutral","Mercure Hotel","August","2019","2","negative"
"Enjoyable venue with a beautiful pool area and within easy reach of surrounding pubs and restaurants","positive","Mercure Hotel","January","2022","5","positive"
"Ideaal als start of eindpunt","neutral","Mercure Hotel","October","2019","4","positive"
"Ruhig gelegenes jedoch nicht zentrales Hotel in der Hauptstadt","neutral","Mercure Hotel","March","2019","2","negative"
"Just for one night","neutral","Mercure Hotel","August","2019","2","negative"
"No me gustó","neutral","Mercure Hotel","October","2021","3","neutral"
"Not a good experience!","positive","Mercure Hotel","September","2019","2","negative"
"Für eine Nacht ok!","neutral","Mercure Hotel","March","2019","3","neutral"
"Vacanze in Namibia","neutral","Mercure Hotel","August","2019","2","negative"
"Ottimo hotel completo di ogni servizio vicino al centro città","neutral","Mercure Hotel","December","2019","4","positive"
"Start Hotel","neutral","Mercure Hotel","September","2019","3","neutral"
"vétuste et hors de la ville","neutral","Mercure Hotel","August","2019","3","neutral"
"Average stay","neutral","Mercure Hotel","November","2019","3","neutral"
"Just for 1 night","neutral","Mercure Hotel","July","2019","3","neutral"
"Start und Ziel...","neutral","Mercure Hotel","May","2019","3","neutral"
"Está bien","neutral","Mercure Hotel","March","2019","3","neutral"
"Old and not worth the price","positive","Mercure Hotel","August","2019","3","neutral"
"Perfect For a Big Group","positive","Mercure Hotel","February","2019","4","positive"
"+-2 years of pleasant visits ended today by a “strict” Manager","positive","Mercure Hotel","December","2019","2","negative"
"Business Meeting","neutral","Mercure Hotel","July","2019","5","positive"
"Expensive but not value","negative","Hilton Hotel","February","2020","1","negative"
"Nice clean hotel","positive","Hilton Hotel","August","2022","5","positive"
"Long wait for checkin","negative","Hilton Hotel","September","2023","3","neutral"
"Disappointed","negative","Hilton Hotel","December","2019","3","neutral"
"The perfect getaway place.","positive","Hilton Hotel","April","2023","5","positive"
"No luxury! Just unprofessional ","negative","Hilton Hotel","January","2019","1","negative"
"Cozy atmosphere","positive","Hilton Hotel","December","2019","5","positive"
"Horrible Hotel","negative","Hilton Hotel","September","2019","1","negative"
"Good service and comfortable ","positive","Hilton Hotel","March","2019","4","positive"
"Standard Hilton without Great Service","positive","Hilton Hotel","May","2021","3","neutral"
"Alojamento muito bom","neutral","Hilton Hotel","November","2019","4","positive"
"Horrible experience at Hilton Windhoek Namibia","negative","Hilton Hotel","June","2019","1","negative"
"I was quite pleased","positive","Hilton Hotel","February","2019","5","positive"
"Internet speed here is HOPELESS!!","negative","Hilton Hotel","January","2019","3","neutral"
"Pratique et confortable","neutral","Hilton Hotel","January","2023","4","positive"
"Gutes Stadthotel im Zentrum von Windhuk","neutral","Hilton Hotel","June","2022","4","positive"
"Danke für die schöne Zeit","negative","Hilton Hotel","August","2021","5","positive"
"受付女性の対応は 言葉使い、マナーが最低だった 朝食、夕食付きで予約していたのに予約に入っていないと... 宿泊費を今 直ちに支払え と命令口調！ 食事付きの日本語予約を見せるが、英語以外は 無効と 強く言い返される 隣の女性スタッフは嘲っ","neutral","Hilton Hotel","January","2020","1","negative"
"Outdated filthy and definitely not a Hilton Standard","negative","Hilton Hotel","December","2019","1","negative"
"Empfehlenswertes Hotel","neutral","Hilton Hotel","November","2019","5","positive"
"Naja für eine Nacht okay","neutral","Hilton Hotel","October","2019","3","neutral"
"Excellent rapport qualité prix","positive","Hilton Hotel","August","2019","5","positive"
"Excellent Location good breakfast very helpful staff.","positive","Hilton Hotel","July","2019","5","positive"
"Immer gerne wieder!","neutral","Hilton Hotel","July","2019","5","positive"
"2 nites in Hilton Windhoek","neutral","Hilton Hotel","June","2019","5","positive"
"A very warm welcoming into Namibia ","positive","Hilton Hotel","April","2019","5","positive"
"Great Location ans spacious twin double bed room","positive","Hilton Hotel","April","2019","5","positive"
"Excellent Hotel","positive","Hilton Hotel","March","2019","5","positive"
"Hilton is always a safe bet","positive","Hilton Hotel","February","2019","4","positive"
"Good choice in Windhoek","positive","Hilton Hotel","May","2019","5","positive"
"Great Overnight Stays","positive","Hilton Hotel","September","2023","5","positive"
"Average ","neutral","Hilton Hotel","January","2021","3","neutral"
"Lovely hotel with a killer rooftop bar","negative","Hilton Hotel","July","2022","4","positive"
"Good choice for a few nights in Windhoek","positive","Hilton Hotel","March","2022","5","positive"
"Lovely modern hotel","positive","Hilton Hotel","September","2023","4","positive"
"Taauli Shivute","neutral","Hilton Hotel","June","2022","5","positive"
"Guter Abschluss unserer Namibiarundreise","neutral","Hilton Hotel","January","2020","4","positive"
"SOSTA STRATEGICA","neutral","Hilton Hotel","August","2019","4","positive"
"First stop in Namibia","negative","Hilton Hotel","March","2019","4","positive"
"Wie immer habe ich mich in diesem Hotel sehr wohl gefühlt.","neutral","Hilton Hotel","March","2021","5","positive"
"Perfect way to start Namibia","positive","Hilton Hotel","October","2019","5","positive"
"Best hotel in town close to shopping places","positive","Hilton Hotel","April","2019","4","positive"
"Good hotel ","positive","Hilton Hotel","February","2019","5","positive"
"Leider nicht mehr so gut wie früher","neutral","Hilton Hotel","January","2023","3","neutral"
"Worst Customer Service EVER","negative","Hilton Hotel","June","2022","2","negative"
