"Name","Review Content","Date","Rating","Mercure Hotel"
"Good hotel, friendly staff","I stayed here at the start of my Namibia safari and on the last day of my tour.  It's located outside the city centre but they have a free shuttle service which operates every 30 mins, taking people to and from the centre.  I found this very useful.  To get to the hotel from the airport I got one of those minivans - 100 NAM dollars. The room that I stayed in on the first night was very very big - 2 double beds and a sofa bed.  The decor is a bit dated and the carpet looks old, but I didn't feel uncomfortable there.  The bathroom was also a bit dated and the light bulb in there kept flashing when I turned it on.  The room I stayed in on my last night in Namibia was a bit smaller but again, it was comfortable.The hotel has several restaurants.  I had a buffet dinner at the Welwitschia restaurant on the first night.  Good selection of food.  The buffet breakfast, which is included, had a fine selection of cereals and hot meals - the crepes were excellent!  On my last night there I tried their Grill Room and had an excellent calamari steak.I would highly recommend this hotel as a place to start/end your adventure in Namibia.  The staff are friendly and the services are excellent.","Date of stay: August 2005This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Not willing to take any responsibility!","My wife and I as well as my mother were guests in your hotel on our final night of our annual Namibia holiday in rooms 59 and 60 from November 9th toNovember 10th 2012..This being our final night I enquired at the safari hotel reception about the possibility of a shuttle to the airport the next day as well as the exact time of departure of the SAA noon flight. According to schedule shown to me my Sergio the departure time of this flight was 1.20 PM. As I had in the back of my mind the departure time of 12:20 PM I went to the safari court reception to use the business center and check the departure time again online on our flight schedule. This  again said 12:20 PM. With this information I approached the Safari Court reception which again told me the flight would leave at 1:20 PM. This was confirmed by an elderly old white gentleman with reddish white hair working for the safari hotels, as he overheard my conversation with the reception. He explained the difference in time due to the change from summer time to winter time in Germany. This seemed plausible to me, as he said that he has returned from Germany last week and had had a similar experience. Furthermore he laughed when I jokingly said, I would sue him, if he was wrong.Unfortunately when the three of us arrived at Windhuk  Airport at 11.55 AM we had to find out, that the SAA Flight did indeed leave at 12:20 PM and the gates were already closed and the machine was on the runway. Not even my star alliance gold status was able to change anything as the machine was overbooked. I therefore had to buy three additional British airways tickets so that we luckily were still able to catch our flight from Johannesburg to Germany.From the airport I called Sergio as well as Francis of your staff to complain about this misinformation of Safari Hotels which cost me over ND 6.000,00. They both once again confirmed that according to their schedule the flight time should have been 1:20 PM and were shocked that this was not correct. Francis agreed with me that on behalf of Safari Hotels it was luck that only the three of us were affected and that we were able to get seats on the BA flight. The disaster could have been much bigger, if a larger group was effected or/ and if the intercontinental flights would have been missed.As safari hotels was recommended to me as a hotel of high international standard and the service and quality we experienced during our stay only confirmed this, there was no reason for me to have any doubts about the information I received from both receptions. All above is cited trom the letter I sent them. The only reaction I got was: This is all your own (my) problem, we are not responsible at all, not even on a goodwill basis!Wonder how other hotels of international reputation would have reacted!","Date of stay: November 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Mercure Hotel"
"Struttura datata","Struttura datata comoda logisticamente per iniziare o finire un viaggio in Namibia ma non di certo per soggiornarci.Stanze spaziose, bagni ok servizio clienti meno. Siamo rimasti senza coperte in inverno perché nessuno riusciva a trovare le house keeping, per rendere l’idea...","Date of stay: August 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Mercure Hotel"
"Disappointing","We needed a last minute place to stay, so I booked the hotel on hotels.com the day before we arrived.  When we arrived at the hotel, they couldn't find our reservations.  I provided them with my booking confirmation details, showed them the email I received, and it still took almost an hour before they gave us a room.  They were friendly and nice about it, just not very helpful.Claiming to have received an ""upgrade"" due to the inconvenience, we were given a really dated room with a very lackluster bathroom, and in addition, the wifi didn't work.  The bed was uncomfortable with very unprofessional ink stamps of the hotel's logo on the bedding.  On the plus side, there was free breakfast (poor service) that was quite yummy and free parking. Overall, there are definitely better places to stay for a similar price.  I will not be returning and I do not recommend this place to fellow travellers.","Date of stay: March 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Mercure Hotel"
"Very Disappointing stay!","Hotel standards very disappointing. We stayed here for 3nights and simply could not wait to leave. The hotel reception lady we found at check in was very unpleasant and simply did not know anything from room rates to asking us to come back after an hour or two and you can just imagine that we had been driving for two whole days to get to windhoek only to find such incompetency at a very well established hotel which we had once stayed in back in 2018 and the service then was just fine. Long story short, we got interleading rooms to accommodate our family (3 children and two adults). Upon check in, the wrong room had been made up and wrong keys given to us (no surprise there as the front lady staff we found was just in another world) and the rooms were not properly cleaned. Beds made but the cleaning standards close to zero! The restaurant staff very friendly and professional especially Justina, chef also excellent but in dining service very pathetic in that it took ages for food to arrive even despite the assurance that it would arrive within 30mins on all days. Another long story short, this hotel has a sewer stench in many places on the property. Outside, inside and this was very odd! Finally, how do you have one side of hotel fully operational and where guests are sleeping, it's totally deserted with a security guard being the only person to provide service and a note at reception saying ""call this number if you need service!"" I was very disappointed with our stay and we have had to find alternative accommodation elsewhere. Very disappointing for such a high standard hotel. Goodness. Please re-train them front office staff esp the lady we found upon check in and let staff be professional to all guests whether white or black. We definitely felt the nonsense segregation and treatment. Not worth our hard earned cash to waste here at all!","Date of stay: November 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Mercure Hotel"
"Hotel confortable mais diner à éviter","Chambre spacieuse, même celles donnant sur l'aéroport sont calmes la nuit.Le breakfast est correct mais il vaut mieux éviter le dîner buffetPeu de choix, réassortiment du buffet inexistant, qualité des plats très ordinaire.","Date of stay: November 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Hotel confortable","Un bon hôtel pour finir son périple ou le commencer après un long vol. Les chambres sont spacieuses au charme un peu désuet. La salle de bain est un peu petite et rudimentaire. La restauration est bonne et les prix sont correctes. L'hôtel est excentré de la ville mais il possède une navette gratuite pour s'y rendre. Le départ est toute les heure.","Date of stay: May 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Service","Hi thereI stayed at the hotel in room 1037. Both days I was there there were no hot water. Not one of the managers had the decency to tell me or the other guests. They left it up to the reception guys. After complaining again to the reception they moved me to room 132 in the business rooms. I checked out this morning and still no apology. I stay at this hotel because of the service and friendly staff. Managers excluded. Will I stay there with my next visit in a month's time. I will have to think about that.Very disappointed Alex Gray","Date of stay: July 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Dated rooms, good breakfast, rooms too hot","I stayed here during an over landing trip of Africa. The rooms were spacious but dated, the shower was powerful and had a good temperature but the room was just boiling. The outside was swarming with mosquitoes so we were unable to leave windows etc open and the fan did nothing for the heat, unbearable heat, so a bad nights sleep. We also couldn't get the wifi in our room so had to walk towards the lobby when most of our friends could receive signal in their rooms. Bar staff friendly but a long time to be served a drink and reception staff could have been more friendly but overall a decent hotel, I just wouldn't stay again.","Date of stay: November 2015This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Large rooms, great breakfast!","Stayed here for one night before an overland tour departing for Botswana.Rooms: well-maintained, similar to any standard western hotel room. Showers were hot and well-pressurized. Complimentary wifi was available. Services: gym, pool and other amenities were all very nice relative to other places I've stayed in Africa. Breakfast is delicious and served daily buffet-style from 6am. It consisted of fruits, cereal, eggs, sausage, bacon, beans, sweet breads, toast, omelette bar, and coffee/tea. Delicious!I would consider recommending this hotel for those looking for a western hotel to stay in as it does not have any African uniqueness.","Date of stay: September 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Adequate, just","My room was clean. The twin beds were rather small but i was able to push them together to have more space. The furniture was rather shabby and outdated. The water in the bathroom came out a rusty colour but i was told it was due to a broken pipe which was about to be repaired. Breakfast was poor - definitely below standard.","Date of stay: December 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
